accession	strain	date	date_released	date_updated	region	country	division	location	length	host	is_lab_host	sra_accessions	authors	full_authors	institution	submitter_country	sample_type	url
MW573865	B16P01.31	2016-05-24	2021-07-15	2021-07-15	Asia	Thailand			357	Pteropus lylei			Wacharapluesadee et al.	Wacharapluesadee,S.,Ghai,S.,Duengkae,P.,Manee-Orn,P.,Thanapongtharm,W.,Saraya,A.W.,Yingsakmongkon,S.,Joyjinda,Y.,Suradhat,S.,Ampoot,W.,Nuansrichay,B.,Kaewpom,T.,Tantilertcharoen,R.,Rodpan,A.,Wongsathapornchai,K.,Ponpinit,T.,Buathong,R.,Bunprakob,S.,Damrongwatanapokin,S.,Ruchiseesarod,C.,Petcharat,S.,Kalpravidh,W.,Olival,K.J.,Stokes,M.M.,Hemachudha,T.,Kulprawit,W.	Faculty of Medicine, Chulalongkorn University, Thai Red Cross Emerging Infectious Diseases - Health Science Centre and WHO Collaborating Centre for Research and Training on Viral Zoonoses, King Chulalongkorn Memorial Hospital	Thailand	urine	https://www.ncbi.nlm.nih.gov/nuccore/MW573865
MW573869	B17640.GUL	2017-05-20	2021-07-15	2021-07-15	Asia	Thailand			357	Pteropus lylei			Wacharapluesadee et al.	Wacharapluesadee,S.,Ghai,S.,Duengkae,P.,Manee-Orn,P.,Thanapongtharm,W.,Saraya,A.W.,Yingsakmongkon,S.,Joyjinda,Y.,Suradhat,S.,Ampoot,W.,Nuansrichay,B.,Kaewpom,T.,Tantilertcharoen,R.,Rodpan,A.,Wongsathapornchai,K.,Ponpinit,T.,Buathong,R.,Bunprakob,S.,Damrongwatanapokin,S.,Ruchiseesarod,C.,Petcharat,S.,Kalpravidh,W.,Olival,K.J.,Stokes,M.M.,Hemachudha,T.,Kulprawit,W.	Faculty of Medicine, Chulalongkorn University, Thai Red Cross Emerging Infectious Diseases - Health Science Centre and WHO Collaborating Centre for Research and Training on Viral Zoonoses, King Chulalongkorn Memorial Hospital	Thailand	urine	https://www.ncbi.nlm.nih.gov/nuccore/MW573869
MW573876	B19013.URL	2019-04-27	2021-07-15	2021-07-15	Asia	Thailand			357	Pteropus lylei			Wacharapluesadee et al.	Wacharapluesadee,S.,Ghai,S.,Duengkae,P.,Manee-Orn,P.,Thanapongtharm,W.,Saraya,A.W.,Yingsakmongkon,S.,Joyjinda,Y.,Suradhat,S.,Ampoot,W.,Nuansrichay,B.,Kaewpom,T.,Tantilertcharoen,R.,Rodpan,A.,Wongsathapornchai,K.,Ponpinit,T.,Buathong,R.,Bunprakob,S.,Damrongwatanapokin,S.,Ruchiseesarod,C.,Petcharat,S.,Kalpravidh,W.,Olival,K.J.,Stokes,M.M.,Hemachudha,T.,Kulprawit,W.	Faculty of Medicine, Chulalongkorn University, Thai Red Cross Emerging Infectious Diseases - Health Science Centre and WHO Collaborating Centre for Research and Training on Viral Zoonoses, King Chulalongkorn Memorial Hospital	Thailand	urine	https://www.ncbi.nlm.nih.gov/nuccore/MW573876
MW573877	B19022.URL	2019-04-27	2021-07-15	2021-07-15	Asia	Thailand			357	Pteropus lylei			Wacharapluesadee et al.	Wacharapluesadee,S.,Ghai,S.,Duengkae,P.,Manee-Orn,P.,Thanapongtharm,W.,Saraya,A.W.,Yingsakmongkon,S.,Joyjinda,Y.,Suradhat,S.,Ampoot,W.,Nuansrichay,B.,Kaewpom,T.,Tantilertcharoen,R.,Rodpan,A.,Wongsathapornchai,K.,Ponpinit,T.,Buathong,R.,Bunprakob,S.,Damrongwatanapokin,S.,Ruchiseesarod,C.,Petcharat,S.,Kalpravidh,W.,Olival,K.J.,Stokes,M.M.,Hemachudha,T.,Kulprawit,W.	Faculty of Medicine, Chulalongkorn University, Thai Red Cross Emerging Infectious Diseases - Health Science Centre and WHO Collaborating Centre for Research and Training on Viral Zoonoses, King Chulalongkorn Memorial Hospital	Thailand	urine	https://www.ncbi.nlm.nih.gov/nuccore/MW573877
MW573878	B20013.GUL	2020-05-31	2021-07-15	2021-07-15	Asia	Thailand			357	Pteropus lylei			Wacharapluesadee et al.	Wacharapluesadee,S.,Ghai,S.,Duengkae,P.,Manee-Orn,P.,Thanapongtharm,W.,Saraya,A.W.,Yingsakmongkon,S.,Joyjinda,Y.,Suradhat,S.,Ampoot,W.,Nuansrichay,B.,Kaewpom,T.,Tantilertcharoen,R.,Rodpan,A.,Wongsathapornchai,K.,Ponpinit,T.,Buathong,R.,Bunprakob,S.,Damrongwatanapokin,S.,Ruchiseesarod,C.,Petcharat,S.,Kalpravidh,W.,Olival,K.J.,Stokes,M.M.,Hemachudha,T.,Kulprawit,W.	Faculty of Medicine, Chulalongkorn University, Thai Red Cross Emerging Infectious Diseases - Health Science Centre and WHO Collaborating Centre for Research and Training on Viral Zoonoses, King Chulalongkorn Memorial Hospital	Thailand	urine	https://www.ncbi.nlm.nih.gov/nuccore/MW573878
MW573880	B20044.GUL	2020-05-31	2021-07-15	2021-07-15	Asia	Thailand			357	Pteropus lylei			Wacharapluesadee et al.	Wacharapluesadee,S.,Ghai,S.,Duengkae,P.,Manee-Orn,P.,Thanapongtharm,W.,Saraya,A.W.,Yingsakmongkon,S.,Joyjinda,Y.,Suradhat,S.,Ampoot,W.,Nuansrichay,B.,Kaewpom,T.,Tantilertcharoen,R.,Rodpan,A.,Wongsathapornchai,K.,Ponpinit,T.,Buathong,R.,Bunprakob,S.,Damrongwatanapokin,S.,Ruchiseesarod,C.,Petcharat,S.,Kalpravidh,W.,Olival,K.J.,Stokes,M.M.,Hemachudha,T.,Kulprawit,W.	Faculty of Medicine, Chulalongkorn University, Thai Red Cross Emerging Infectious Diseases - Health Science Centre and WHO Collaborating Centre for Research and Training on Viral Zoonoses, King Chulalongkorn Memorial Hospital	Thailand	urine	https://www.ncbi.nlm.nih.gov/nuccore/MW573880
OR762512	C011	2014-05-09	2024-05-08	2024-05-08	Asia	Cambodia			1174	Pteropus lylei			Azuero et al.	Azuero,O.C.,Lefrancq,N.,Nikolay,B.,McKee,C.,Cappelle,J.,Hul,V.,Ou,T.P.,Hoem,T.,Lemey,P.,Rahman,M.Z.,Islam,A.,Gurley,E.S.,Duong,V.,Salje,H.,Heng,O.,Williams,D.	Institut Pasteur du Cambodge, Virology Unit	Cambodia	urine	https://www.ncbi.nlm.nih.gov/nuccore/OR762512
OR762513	C077	2014-05-09	2024-05-08	2024-05-08	Asia	Cambodia			1125	Pteropus lylei			Azuero et al.	Azuero,O.C.,Lefrancq,N.,Nikolay,B.,McKee,C.,Cappelle,J.,Hul,V.,Ou,T.P.,Hoem,T.,Lemey,P.,Rahman,M.Z.,Islam,A.,Gurley,E.S.,Duong,V.,Salje,H.,Heng,O.,Williams,D.	Institut Pasteur du Cambodge, Virology Unit	Cambodia	urine	https://www.ncbi.nlm.nih.gov/nuccore/OR762513
OR762514	H001	2014-11-26	2024-05-08	2024-05-08	Asia	Cambodia			1125	Pteropus lylei			Azuero et al.	Azuero,O.C.,Lefrancq,N.,Nikolay,B.,McKee,C.,Cappelle,J.,Hul,V.,Ou,T.P.,Hoem,T.,Lemey,P.,Rahman,M.Z.,Islam,A.,Gurley,E.S.,Duong,V.,Salje,H.,Heng,O.,Williams,D.	Institut Pasteur du Cambodge, Virology Unit	Cambodia	urine	https://www.ncbi.nlm.nih.gov/nuccore/OR762514
OR762519	FF031	2015-04-26	2024-05-08	2024-05-08	Asia	Cambodia			1157	Pteropus lylei			Azuero et al.	Azuero,O.C.,Lefrancq,N.,Nikolay,B.,McKee,C.,Cappelle,J.,Hul,V.,Ou,T.P.,Hoem,T.,Lemey,P.,Rahman,M.Z.,Islam,A.,Gurley,E.S.,Duong,V.,Salje,H.,Heng,O.,Williams,D.	Institut Pasteur du Cambodge, Virology Unit	Cambodia	urine	https://www.ncbi.nlm.nih.gov/nuccore/OR762519
OR762520	FF044	2015-04-26	2024-05-08	2024-05-08	Asia	Cambodia			230	Pteropus lylei			Azuero et al.	Azuero,O.C.,Lefrancq,N.,Nikolay,B.,McKee,C.,Cappelle,J.,Hul,V.,Ou,T.P.,Hoem,T.,Lemey,P.,Rahman,M.Z.,Islam,A.,Gurley,E.S.,Duong,V.,Salje,H.,Heng,O.,Williams,D.	Institut Pasteur du Cambodge, Virology Unit	Cambodia	urine	https://www.ncbi.nlm.nih.gov/nuccore/OR762520
OR762523	C282	2015-05-18	2024-05-08	2024-05-08	Asia	Cambodia			1167	Pteropus lylei			Azuero et al.	Azuero,O.C.,Lefrancq,N.,Nikolay,B.,McKee,C.,Cappelle,J.,Hul,V.,Ou,T.P.,Hoem,T.,Lemey,P.,Rahman,M.Z.,Islam,A.,Gurley,E.S.,Duong,V.,Salje,H.,Heng,O.,Williams,D.	Institut Pasteur du Cambodge, Virology Unit	Cambodia	urine	https://www.ncbi.nlm.nih.gov/nuccore/OR762523
OR762526	Ba977	2015-10-21	2024-05-08	2024-05-08	Asia	Cambodia			742	Pteropus lylei			Azuero et al.	Azuero,O.C.,Lefrancq,N.,Nikolay,B.,McKee,C.,Cappelle,J.,Hul,V.,Ou,T.P.,Hoem,T.,Lemey,P.,Rahman,M.Z.,Islam,A.,Gurley,E.S.,Duong,V.,Salje,H.,Heng,O.,Williams,D.	Institut Pasteur du Cambodge, Virology Unit	Cambodia	urine	https://www.ncbi.nlm.nih.gov/nuccore/OR762526
OR762527	Ba996	2015-10-21	2024-05-08	2024-05-08	Asia	Cambodia			1152	Pteropus lylei			Azuero et al.	Azuero,O.C.,Lefrancq,N.,Nikolay,B.,McKee,C.,Cappelle,J.,Hul,V.,Ou,T.P.,Hoem,T.,Lemey,P.,Rahman,M.Z.,Islam,A.,Gurley,E.S.,Duong,V.,Salje,H.,Heng,O.,Williams,D.	Institut Pasteur du Cambodge, Virology Unit	Cambodia	urine	https://www.ncbi.nlm.nih.gov/nuccore/OR762527
OR762533	Ba173	2015-03-05	2024-05-08	2024-05-08	Asia	Cambodia			1146	Pteropus lylei			Azuero et al.	Azuero,O.C.,Lefrancq,N.,Nikolay,B.,McKee,C.,Cappelle,J.,Hul,V.,Ou,T.P.,Hoem,T.,Lemey,P.,Rahman,M.Z.,Islam,A.,Gurley,E.S.,Duong,V.,Salje,H.,Heng,O.,Williams,D.	Institut Pasteur du Cambodge, Virology Unit	Cambodia	urine	https://www.ncbi.nlm.nih.gov/nuccore/OR762533
OR762534	Ba547	2015-05-21	2024-05-08	2024-05-08	Asia	Cambodia			1171	Pteropus lylei			Azuero et al.	Azuero,O.C.,Lefrancq,N.,Nikolay,B.,McKee,C.,Cappelle,J.,Hul,V.,Ou,T.P.,Hoem,T.,Lemey,P.,Rahman,M.Z.,Islam,A.,Gurley,E.S.,Duong,V.,Salje,H.,Heng,O.,Williams,D.	Institut Pasteur du Cambodge, Virology Unit	Cambodia	urine	https://www.ncbi.nlm.nih.gov/nuccore/OR762534
OR762536	Ba611	2015-06-04	2024-05-08	2024-05-08	Asia	Cambodia			1160	Pteropus lylei			Azuero et al.	Azuero,O.C.,Lefrancq,N.,Nikolay,B.,McKee,C.,Cappelle,J.,Hul,V.,Ou,T.P.,Hoem,T.,Lemey,P.,Rahman,M.Z.,Islam,A.,Gurley,E.S.,Duong,V.,Salje,H.,Heng,O.,Williams,D.	Institut Pasteur du Cambodge, Virology Unit	Cambodia	urine	https://www.ncbi.nlm.nih.gov/nuccore/OR762536
OR762537	C271	2013-05-12	2024-05-08	2024-05-08	Asia	Cambodia			226	Pteropus lylei			Azuero et al.	Azuero,O.C.,Lefrancq,N.,Nikolay,B.,McKee,C.,Cappelle,J.,Hul,V.,Ou,T.P.,Hoem,T.,Lemey,P.,Rahman,M.Z.,Islam,A.,Gurley,E.S.,Duong,V.,Salje,H.,Heng,O.,Williams,D.	Institut Pasteur du Cambodge, Virology Unit	Cambodia	urine	https://www.ncbi.nlm.nih.gov/nuccore/OR762537
OR765959	MCL-23-Bat-247/5	2023-05-XX	2024-11-14	2024-11-14	Asia	India	Bihar	Patana	526	Chiroptera			Yadav et al.	Yadav,P.D.	National Institute of Virology, Maximum Containment Laboratory	India	spleen, abdominal cavity	https://www.ncbi.nlm.nih.gov/nuccore/OR765959
OR765964	MCL-23-Bat-291/5	2023-07-XX	2024-11-14	2024-11-14	Asia	India	Kerala	Kozhicode	348	Chiroptera			Yadav et al.	Yadav,P.D.	National Institute of Virology, Maximum Containment Laboratory	India	spleen, abdominal cavity	https://www.ncbi.nlm.nih.gov/nuccore/OR765964
OR820506	MCL-23-H-3874_RNA_11865	2023-08-29	2024-05-25	2024-05-25	Asia	India	Kerala	Kozhikode (Kerala)	18221	Homo sapiens			Yadav et al.	Yadav,P.D.	National Institute of Virology, Maximum Containment Laboratory	India	oronasopharynx	https://www.ncbi.nlm.nih.gov/nuccore/OR820506
OR838348	MCL-23-H-3768_RNA_11864	2023-09-11	2024-05-25	2024-05-25	Asia	India	Kerala	Kozhikode (Kerala)	209	Homo sapiens			Yadav et al.	Yadav,P.D.	National Institute of Virology, Maximum Containment Laboratory	India		https://www.ncbi.nlm.nih.gov/nuccore/OR838348
OR838352	MCL-23-H-3768_RNA_11864	2023-09-11	2024-05-25	2024-05-25	Asia	India	Kerala	Kozhikode (Kerala)	233	Homo sapiens			Yadav et al.	Yadav,P.D.	National Institute of Virology, Maximum Containment Laboratory	India		https://www.ncbi.nlm.nih.gov/nuccore/OR838352
PP554504	MCL-23-Bat-247/5_RNA_11996	2023-05-XX	2024-11-27	2024-11-27	Asia	India	Bihar	Patana	18164	Pteropus medius			Yadav et al.	Yadav,P.D.	National Institute of Virology, Maximum Containment Laboratory	India	spleen, abdominal cavity	https://www.ncbi.nlm.nih.gov/nuccore/PP554504
PP893189	C-19-B-1808	2019-03-XX	2024-06-15	2024-06-15	Asia	Sri Lanka			255	Pteropus medius			Kohl et al.	Kohl,C.,Siriwardana,S.,Muzeniek,T.,Perera,T.,Bas,D.,Oeruc,M.,Brinkmann,A.,Becker-Ziaja,B.,Schwarz,F.,Jeevatharan,H.,Weerasena,J.,Handunnetti,S.,Perera,I.C.,Premawansa,G.,Premawansa,S.,Yapa,W.,Nitsche,A.	Robert Koch-Institute, Centre for Biological Threats and Special Pathogens	Germany	urine	https://www.ncbi.nlm.nih.gov/nuccore/PP893189
PP981665	NiV/human/BGD/FP0136517/2017	2017-02-22	2024-07-12	2024-07-12	Asia	Bangladesh	Dhaka	Faridpur	18077	Homo sapiens			Rahman et al.	Rahman,M.M.,Miah,M.,Rahman,S.,Rahman,D.I.,Rahman,M.W.,Hossain,M.E.,Satter,S.M.,Klena,J.D.,Shirin,T.,Montgomery,J.M.,Rahman,M.Z.	icddr, b, One Health Laboratory	Bangladesh	oronasopharynx	https://www.ncbi.nlm.nih.gov/nuccore/PP981665
PP981666	NiV/human/BGD/SQ00118/2018	2018-02-08	2024-07-12	2024-07-12	Asia	Bangladesh	Dhaka	Faridpur	18077	Homo sapiens			Rahman et al.	Rahman,M.M.,Miah,M.,Rahman,S.,Rahman,D.I.,Rahman,M.W.,Hossain,M.E.,Satter,S.M.,Klena,J.D.,Shirin,T.,Montgomery,J.M.,Rahman,M.Z.	icddr, b, One Health Laboratory	Bangladesh	oronasopharynx	https://www.ncbi.nlm.nih.gov/nuccore/PP981666
PP981667	NiV/human/BGD/RS0384019/2019	2019-02-20	2024-07-12	2024-07-12	Asia	Bangladesh	Rajshahi		18077	Homo sapiens			Rahman et al.	Rahman,M.M.,Miah,M.,Rahman,S.,Rahman,D.I.,Rahman,M.W.,Hossain,M.E.,Satter,S.M.,Klena,J.D.,Shirin,T.,Montgomery,J.M.,Rahman,M.Z.	icddr, b, One Health Laboratory	Bangladesh	oronasopharynx	https://www.ncbi.nlm.nih.gov/nuccore/PP981667
PP981670	NiV/human/BGD/ID-01/2020	2020-01-20	2024-07-12	2024-07-12	Asia	Bangladesh	Dhaka	Faridpur	18077	Homo sapiens			Rahman et al.	Rahman,M.M.,Miah,M.,Rahman,S.,Rahman,D.I.,Rahman,M.W.,Hossain,M.E.,Satter,S.M.,Klena,J.D.,Shirin,T.,Montgomery,J.M.,Rahman,M.Z.	icddr, b, One Health Laboratory	Bangladesh	oronasopharynx	https://www.ncbi.nlm.nih.gov/nuccore/PP981670
PP981672	NiV/human/BGD/FP0219620/2020	2020-01-25	2024-07-12	2024-07-12	Asia	Bangladesh	Dhaka	Faridpur	18077	Homo sapiens			Rahman et al.	Rahman,M.M.,Miah,M.,Rahman,S.,Rahman,D.I.,Rahman,M.W.,Hossain,M.E.,Satter,S.M.,Klena,J.D.,Shirin,T.,Montgomery,J.M.,Rahman,M.Z.	icddr, b, One Health Laboratory	Bangladesh	oronasopharynx	https://www.ncbi.nlm.nih.gov/nuccore/PP981672
PP981673	NiV/human/BGD/RS0559122/2022	2022-03-14	2024-07-12	2024-07-12	Asia	Bangladesh	Rajshahi	Naogaon (Rajshahi)	18077	Homo sapiens			Rahman et al.	Rahman,M.M.,Miah,M.,Rahman,S.,Rahman,D.I.,Rahman,M.W.,Hossain,M.E.,Satter,S.M.,Klena,J.D.,Shirin,T.,Montgomery,J.M.,Rahman,M.Z.	icddr, b, One Health Laboratory	Bangladesh	oronasopharynx	https://www.ncbi.nlm.nih.gov/nuccore/PP981673
PP981675	NiV/human/BGD/RS0560822/2022	2022-03-24	2024-07-12	2024-07-12	Asia	Bangladesh	Rajshahi	Naogaon (Rajshahi)	18096	Homo sapiens			Rahman et al.	Rahman,M.M.,Miah,M.,Rahman,S.,Rahman,D.I.,Rahman,M.W.,Hossain,M.E.,Satter,S.M.,Klena,J.D.,Shirin,T.,Montgomery,J.M.,Rahman,M.Z.	icddr, b, One Health Laboratory	Bangladesh	oronasopharynx	https://www.ncbi.nlm.nih.gov/nuccore/PP981675
PP981677	NiV/human/BGD/NINS00123/2023	2023-01-15	2024-07-12	2024-07-12	Asia	Bangladesh	Rajshahi	Naogaon (Rajshahi)	18091	Homo sapiens			Rahman et al.	Rahman,M.M.,Miah,M.,Rahman,S.,Rahman,D.I.,Rahman,M.W.,Hossain,M.E.,Satter,S.M.,Klena,J.D.,Shirin,T.,Montgomery,J.M.,Rahman,M.Z.	icddr, b, One Health Laboratory	Bangladesh	oronasopharynx	https://www.ncbi.nlm.nih.gov/nuccore/PP981677
PP981681	NiV/human/BGD/FP0300923/2023	2023-01-28	2024-07-12	2024-07-12	Asia	Bangladesh	Dhaka	Rajbari	18090	Homo sapiens			Rahman et al.	Rahman,M.M.,Miah,M.,Rahman,S.,Rahman,D.I.,Rahman,M.W.,Hossain,M.E.,Satter,S.M.,Klena,J.D.,Shirin,T.,Montgomery,J.M.,Rahman,M.Z.	icddr, b, One Health Laboratory	Bangladesh	oronasopharynx	https://www.ncbi.nlm.nih.gov/nuccore/PP981681
PP981684	NiV/human/BGD/DMCH00523/2023	2023-02-12	2024-07-12	2024-07-12	Asia	Bangladesh	Narshingdi		18087	Homo sapiens			Rahman et al.	Rahman,M.M.,Miah,M.,Rahman,S.,Rahman,D.I.,Rahman,M.W.,Hossain,M.E.,Satter,S.M.,Klena,J.D.,Shirin,T.,Montgomery,J.M.,Rahman,M.Z.	icddr, b, One Health Laboratory	Bangladesh	oronasopharynx	https://www.ncbi.nlm.nih.gov/nuccore/PP981684
PQ368169	NiV/human/BGD/FP0300923BM/2023	2023-02-01	2024-11-09	2024-11-09	Asia	Bangladesh	Dhaka	Rajbari	18107	Homo sapiens			Rahman et al.	Rahman,M.M.,Miah,M.,Hossain,M.E.,Satter,S.M.,Klena,J.D.,Shirin,T.,Montgomery,J.M.,Rahman,D.I.,Rahman,S.,Rahman,M.W.,Rahman,M.Z.	Icddr, B, One Health Laboratory	Bangladesh	mammalian milk	https://www.ncbi.nlm.nih.gov/nuccore/PQ368169
PQ684035	IDN-K04	2021-09-XX	2025-10-26	2025-10-26	Asia	Indonesia	Magelang		398	Pteropus hypomelanus			Putro et al.	Putro,D.B.W.,Mulyono,A.,Rahardianingtyas,E.,Ardanto,A.,Joharina,A.S.,Hidajat,M.C.,Anggraeni,Y.M.,Ristiyanto,R.,Sari,T.F.,Dharmayanti,N.L.P.I.,Garjito,T.A.,Sasmono,R.T.,Putro,D.B.,Sari,T.V.,Dharmayanti,N.I.	National Research and Innovation Agency, Eijkman Research Center for Molecular Biology	Indonesia	feces	https://www.ncbi.nlm.nih.gov/nuccore/PQ684035
PQ684036	IDN-K07	2021-09-XX	2025-10-26	2025-10-26	Asia	Indonesia	Magelang		398	Pteropus hypomelanus			Putro et al.	Putro,D.B.W.,Mulyono,A.,Rahardianingtyas,E.,Ardanto,A.,Joharina,A.S.,Hidajat,M.C.,Anggraeni,Y.M.,Ristiyanto,R.,Sari,T.F.,Dharmayanti,N.L.P.I.,Garjito,T.A.,Sasmono,R.T.,Putro,D.B.,Sari,T.V.,Dharmayanti,N.I.	National Research and Innovation Agency, Eijkman Research Center for Molecular Biology	Indonesia	feces	https://www.ncbi.nlm.nih.gov/nuccore/PQ684036
PV132706	NiV/human/BGD/DMCH00124/2024	2024-01-30	2025-03-12	2025-03-12	Asia	Bangladesh	Dhaka	Shariatpur	18133	Homo sapiens			Rahman et al.	Rahman,M.M.,Rahim,S.,Rahman,S.,Hossain,M.E.,Rahman,D.I.,Rahman,M.W.,Satter,S.M.,Klena,J.D.,Shirin,T.,Montgomery,J.M.,Rahman,M.Z.	ICDDR, B, One Health Laboratory	Bangladesh	oronasopharynx	https://www.ncbi.nlm.nih.gov/nuccore/PV132706
PV132707	NiV/human/BGD/PMSKH0000424/2024	2024-03-17	2025-03-12	2025-03-12	Asia	Bangladesh	Khulna		18128	Homo sapiens			Rahman et al.	Rahman,M.M.,Rahim,S.,Rahman,S.,Hossain,M.E.,Rahman,D.I.,Rahman,M.W.,Satter,S.M.,Klena,J.D.,Shirin,T.,Montgomery,J.M.,Rahman,M.Z.	ICDDR, B, One Health Laboratory	Bangladesh	oronasopharynx	https://www.ncbi.nlm.nih.gov/nuccore/PV132707
PV640869	MCL-25-H-2892	2025-05-XX	2025-11-30	2025-11-30	Asia	India	Kerala		18168	Homo sapiens			Yadav et al.	Yadav,P.D.	National Institute of Virology, Maximum Containment Laboratory	India		https://www.ncbi.nlm.nih.gov/nuccore/PV640869
PV648731	IAV5586	2024-07-20	2025-05-21	2025-05-21	Asia	India	Malappuram District	Kerala State	1641	Homo sapiens			Aneesh et al.	Aneesh,B.,Chippy,P.S.,Priya,P.,Santhik,S.L.,Geetu,R.V.,Aswathyraj,S.,Sreekumar,E.	Institute of Advanced Virology, Department of Virus Diagnostics	India	oronasopharynx	https://www.ncbi.nlm.nih.gov/nuccore/PV648731
PX130164	NiV/human/BGD/RS0825725/2025	2025-01-28	2025-08-24	2025-08-24	Asia	Bangladesh	Rajshahi	Pabna	18126	Homo sapiens			Rahman et al.	Rahman,M.M.,Rahim,S.,Rahman,S.,Hossain,M.E.,Rahman,D.I.,Rahman,M.W.,Satter,S.M.,Klena,J.D.,Shirin,T.,Montgomery,J.M.,Rahman,M.Z.	icddr, b, One Health Laboratory	Bangladesh	blood	https://www.ncbi.nlm.nih.gov/nuccore/PX130164
PX130165	NiV/human/BGD/SB0200425/2025	2025-02-20	2025-08-24	2025-08-24	Asia	Bangladesh	Dhaka	Bhola	18128	Homo sapiens			Rahman et al.	Rahman,M.M.,Rahim,S.,Rahman,S.,Hossain,M.E.,Rahman,D.I.,Rahman,M.W.,Satter,S.M.,Klena,J.D.,Shirin,T.,Montgomery,J.M.,Rahman,M.Z.	icddr, b, One Health Laboratory	Bangladesh	oronasopharynx	https://www.ncbi.nlm.nih.gov/nuccore/PX130165
PX130166	NiV/human/BGD/FP0372425/2025	2025-02-25	2025-08-24	2025-08-24	Asia	Bangladesh	Khulna	Chuadanga	18124	Homo sapiens			Rahman et al.	Rahman,M.M.,Rahim,S.,Rahman,S.,Hossain,M.E.,Rahman,D.I.,Rahman,M.W.,Satter,S.M.,Klena,J.D.,Shirin,T.,Montgomery,J.M.,Rahman,M.Z.	icddr, b, One Health Laboratory	Bangladesh	oronasopharynx	https://www.ncbi.nlm.nih.gov/nuccore/PX130166
PX459879	B1903S18C_IdeaLab_SL	2019-03-XX	2025-10-20	2025-10-20	Asia	Sri Lanka	Colombo		141	Pteropus medius			Siriwardana et al.	Siriwardana,S.,Muzeniek,T.,Schwarz,F.,Perera,T.,Oruc,M.,Premawansa,G.,Premawansa,S.,Yapa,W.,Perera,I.,Kohl,C.	Robert Koch Institute, Centre for Biological Security	Germany	urine	https://www.ncbi.nlm.nih.gov/nuccore/PX459879
PX984254	NiV/Bat/BGD/BNV0370/2022	2022-06-19	2026-03-08	2026-03-08	Asia	Bangladesh			1599	Pteropus sp.			Rahman et al.	Rahman,M.M.,Rahman,S.,Rahim,S.,Hossain,M.E.,Satter,S.M.,Klena,J.D.,Whitmer,S.,Shirin,T.,Montgomery,J.M.,Islam,A.,Epstein,J.H.,Kaczmarek,M.E.,Jahid,I.K.,Rahman,M.Z.	icddr, b, One Health Laboratory	Bangladesh		https://www.ncbi.nlm.nih.gov/nuccore/PX984254
